Samples	Subtype
TCGA-55-7725-01A	C1
TCGA-55-7726-01A	C2
TCGA-55-7727-01A	C1
TCGA-55-7728-01A	C1
TCGA-55-7815-01A	C3
TCGA-55-7816-01A	C1
TCGA-55-7903-01A	C1
TCGA-55-7907-01A	C2
TCGA-55-7910-01A	C3
TCGA-55-7911-01A	C1
TCGA-55-7913-01B	C3
TCGA-55-7914-01A	C1
TCGA-55-7994-01A	C1
TCGA-55-7995-01A	C1
TCGA-55-8085-01A	C2
TCGA-55-8087-01A	C1
TCGA-55-8089-01A	C1
TCGA-55-8090-01A	C1
TCGA-55-8091-01A	C1
TCGA-55-8092-01A	C2
TCGA-55-8094-01A	C3
TCGA-55-8096-01A	C2
TCGA-55-8097-01A	C1
TCGA-55-8203-01A	C3
TCGA-55-8204-01A	C2
TCGA-55-8205-01A	C1
TCGA-55-8206-01A	C1
TCGA-55-8207-01A	C1
TCGA-55-8208-01A	C1
TCGA-55-8299-01A	C1
TCGA-55-8301-01A	C1
TCGA-55-8302-01A	C2
TCGA-55-8505-01A	C3
TCGA-55-8507-01A	C3
TCGA-55-8508-01A	C3
TCGA-55-8510-01A	C1
TCGA-55-8511-01A	C1
TCGA-55-8512-01A	C1
TCGA-55-8513-01A	C1
TCGA-55-8514-01A	C1
TCGA-55-8614-01A	C1
TCGA-55-8615-01A	C3
TCGA-55-8616-01A	C1
TCGA-55-8619-01A	C1
TCGA-55-8620-01A	C3
TCGA-55-8621-01A	C1
TCGA-55-A48X-01A	C1
TCGA-55-A48Y-01A	C3
TCGA-55-A48Z-01A	C1
TCGA-55-A490-01A	C2
TCGA-55-A491-01A	C2
TCGA-55-A492-01A	C3
TCGA-55-A494-01A	C3
TCGA-55-A4DF-01A	C1
TCGA-55-A4DG-01A	C1
TCGA-55-A57B-01A	C1
TCGA-62-8394-01A	C2
TCGA-62-8395-01A	C1
TCGA-62-8397-01A	C1
TCGA-62-8398-01A	C3
TCGA-62-8399-01A	C2
TCGA-62-8402-01A	C2
TCGA-62-A46O-01A	C3
TCGA-62-A46P-01A	C3
TCGA-62-A46R-01A	C1
TCGA-62-A46S-01A	C3
TCGA-62-A46V-01A	C2
TCGA-62-A46Y-01A	C1
TCGA-62-A470-01A	C3
TCGA-62-A471-01A	C3
TCGA-62-A472-01A	C1
TCGA-64-1676-01A	C2
TCGA-64-1677-01A	C2
TCGA-64-1678-01A	C3
TCGA-64-1679-01A	C2
TCGA-64-1680-01A	C1
TCGA-64-1681-01A	C1
TCGA-64-5774-01A	C3
TCGA-64-5775-01A	C2
TCGA-64-5778-01A	C1
TCGA-64-5779-01A	C2
TCGA-64-5781-01A	C3
TCGA-64-5815-01A	C1
TCGA-67-3770-01A	C1
TCGA-67-3771-01A	C2
TCGA-67-3772-01A	C1
TCGA-67-3773-01A	C1
TCGA-67-3774-01A	C1
TCGA-67-4679-01B	C1
TCGA-67-6215-01A	C1
TCGA-67-6216-01A	C1
TCGA-67-6217-01A	C1
TCGA-69-7760-01A	C3
TCGA-69-7761-01A	C1
TCGA-69-7763-01A	C3
TCGA-69-7764-01A	C1
TCGA-69-7765-01A	C1
TCGA-69-7973-01A	C3
TCGA-69-7974-01A	C1
TCGA-69-7978-01A	C1
TCGA-69-7979-01A	C3
TCGA-69-7980-01A	C1
TCGA-69-8253-01A	C3
TCGA-69-8254-01A	C1
TCGA-69-8255-01A	C3
TCGA-69-8453-01A	C1
TCGA-69-A59K-01A	C1
TCGA-71-6725-01A	C3
TCGA-71-8520-01A	C2
TCGA-73-4658-01A	C1
TCGA-73-4659-01A	C3
TCGA-73-4662-01A	C1
TCGA-73-4666-01A	C2
TCGA-73-4668-01A	C2
TCGA-73-4670-01A	C3
TCGA-73-4675-01A	C3
TCGA-73-4676-01A	C2
TCGA-73-4677-01A	C3
TCGA-73-7498-01A	C1
TCGA-73-7499-01A	C1
TCGA-73-A9RS-01A	C3
TCGA-75-5125-01A	C1
TCGA-75-5146-01A	C1
TCGA-75-5147-01A	C1
TCGA-75-6206-01A	C1
TCGA-75-6212-01A	C1
TCGA-75-6214-01A	C3
TCGA-75-7025-01A	C1
TCGA-75-7027-01A	C3
TCGA-78-7143-01A	C1
TCGA-78-7145-01A	C2
TCGA-78-7146-01A	C2
TCGA-78-7147-01A	C1
TCGA-78-7148-01A	C3
TCGA-78-7149-01A	C3
TCGA-78-7150-01A	C3
TCGA-78-7152-01A	C1
TCGA-78-7153-01A	C3
TCGA-78-7154-01A	C3
TCGA-78-7155-01A	C3
TCGA-78-7156-01A	C3
TCGA-78-7158-01A	C1
TCGA-78-7159-01A	C3
TCGA-78-7160-01A	C1
TCGA-78-7161-01A	C3
TCGA-78-7162-01A	C1
TCGA-78-7163-01A	C3
TCGA-78-7166-01A	C3
TCGA-78-7167-01A	C3
TCGA-78-7220-01A	C3
TCGA-78-7535-01A	C3
TCGA-78-7536-01A	C3
TCGA-78-7537-01A	C1
TCGA-78-7539-01A	C1
TCGA-78-7540-01A	C3
TCGA-78-7542-01A	C2
TCGA-78-7633-01A	C3
TCGA-78-8640-01A	C3
TCGA-78-8648-01A	C1
TCGA-78-8655-01A	C1
TCGA-78-8660-01A	C1
TCGA-78-8662-01A	C3
TCGA-80-5608-01A	C3
TCGA-80-5611-01A	C2
TCGA-83-5908-01A	C2
TCGA-86-6562-01A	C1
TCGA-86-6851-01A	C1
TCGA-86-7701-01A	C3
TCGA-86-7711-01A	C2
TCGA-86-7713-01A	C3
TCGA-86-7714-01A	C1
TCGA-86-7953-01A	C1
TCGA-86-7954-01A	C1
TCGA-86-7955-01A	C3
TCGA-86-8054-01A	C3
TCGA-86-8055-01A	C2
TCGA-86-8056-01A	C1
TCGA-86-8073-01A	C1
TCGA-86-8075-01A	C2
TCGA-86-8076-01A	C1
TCGA-86-8278-01A	C1
TCGA-86-8279-01A	C3
TCGA-86-8280-01A	C1
TCGA-86-8358-01A	C3
TCGA-86-8359-01A	C3
TCGA-86-8585-01A	C3
TCGA-86-8668-01A	C1
TCGA-86-8669-01A	C1
TCGA-86-8671-01A	C1
TCGA-86-8673-01A	C3
TCGA-86-8674-01A	C3
TCGA-86-A456-01A	C1
TCGA-86-A4D0-01A	C3
TCGA-86-A4JF-01A	C1
TCGA-86-A4P7-01A	C1
TCGA-86-A4P8-01A	C1
TCGA-91-6828-01A	C1
TCGA-91-6829-01A	C2
TCGA-91-6830-01A	C1
TCGA-91-6831-01A	C3
TCGA-91-6835-01A	C1
TCGA-91-6836-01A	C2
TCGA-91-6840-01A	C1
TCGA-91-6847-01A	C3
TCGA-91-6848-01A	C2
TCGA-91-6849-01A	C1
TCGA-91-7771-01A	C1
TCGA-91-8496-01A	C1
TCGA-91-8497-01A	C1
TCGA-91-8499-01A	C2
TCGA-91-A4BC-01A	C3
TCGA-91-A4BD-01A	C1
TCGA-93-7347-01A	C1
TCGA-93-7348-01A	C1
TCGA-93-8067-01A	C3
TCGA-93-A4JN-01A	C1
TCGA-93-A4JO-01A	C1
TCGA-93-A4JP-01A	C1
TCGA-93-A4JQ-01A	C1
TCGA-95-7039-01A	C2
TCGA-95-7043-01A	C3
TCGA-95-7562-01A	C2
TCGA-95-7567-01A	C2
TCGA-95-7944-01A	C2
TCGA-95-7947-01A	C1
TCGA-95-7948-01A	C2
TCGA-95-8039-01A	C1
TCGA-95-8494-01A	C2
TCGA-95-A4VK-01A	C3
TCGA-95-A4VN-01A	C1
TCGA-95-A4VP-01A	C3
TCGA-97-7546-01A	C1
TCGA-97-7547-01A	C1
TCGA-97-7552-01A	C1
TCGA-97-7553-01A	C1
TCGA-97-7554-01A	C1
TCGA-97-7937-01A	C3
TCGA-97-7941-01A	C1
TCGA-97-8171-01A	C3
TCGA-97-8172-01A	C1
TCGA-97-8174-01A	C1
TCGA-97-8175-01A	C2
TCGA-97-8176-01A	C3
TCGA-97-8177-01A	C1
TCGA-97-8179-01A	C3
TCGA-97-8547-01A	C2
TCGA-97-8552-01A	C1
TCGA-97-A4LX-01A	C1
TCGA-97-A4M0-01A	C1
TCGA-97-A4M1-01A	C1
TCGA-97-A4M2-01A	C1
TCGA-97-A4M3-01A	C3
TCGA-97-A4M5-01A	C1
TCGA-97-A4M6-01A	C1
TCGA-97-A4M7-01A	C1
TCGA-99-7458-01A	C1
TCGA-99-8025-01A	C2
TCGA-99-8028-01A	C1
TCGA-99-8032-01A	C3
TCGA-99-8033-01A	C2
TCGA-99-AA5R-01A	C1
TCGA-J2-8192-01A	C1
TCGA-J2-8194-01A	C3
TCGA-J2-A4AD-01A	C3
TCGA-J2-A4AE-01A	C1
TCGA-J2-A4AG-01A	C1
TCGA-L4-A4E5-01A	C3
TCGA-L4-A4E6-01A	C1
TCGA-L9-A443-01A	C1
TCGA-L9-A444-01A	C1
TCGA-L9-A50W-01A	C1
TCGA-L9-A5IP-01A	C3
TCGA-L9-A743-01A	C1
TCGA-L9-A7SV-01A	C3
TCGA-L9-A8F4-01A	C2
TCGA-MN-A4N1-01A	C3
TCGA-MN-A4N4-01A	C2
TCGA-MN-A4N5-01A	C1
TCGA-MP-A4SV-01A	C1
TCGA-MP-A4SW-01A	C1
TCGA-MP-A4SY-01A	C2
TCGA-MP-A4T4-01A	C1
TCGA-MP-A4T6-01A	C1
TCGA-MP-A4T7-01A	C3
TCGA-MP-A4T8-01A	C3
TCGA-MP-A4T9-01A	C1
TCGA-MP-A4TA-01A	C3
TCGA-MP-A4TC-01A	C2
TCGA-MP-A4TD-01A	C3
TCGA-MP-A4TE-01A	C3
TCGA-MP-A4TF-01A	C3
TCGA-MP-A4TH-01A	C1
TCGA-MP-A4TI-01A	C1
TCGA-MP-A4TJ-01A	C1
TCGA-MP-A4TK-01A	C1
TCGA-MP-A5C7-01A	C3
TCGA-NJ-A4YF-01A	C3
TCGA-NJ-A4YG-01A	C1
TCGA-NJ-A4YP-01A	C3
TCGA-NJ-A4YQ-01A	C1
TCGA-NJ-A55R-01A	C3
TCGA-NJ-A7XG-01A	C3
TCGA-O1-A52J-01A	C1
TCGA-S2-AA1A-01A	C1
